y_actual,y_pred,y_prob,top_3_features
0,0,0.01783041,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.0029628007,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0032924612,"['Payment_Timeframe', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.55480915,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.017364938,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.0015179075,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.043194633,"['Status_Scores', 'Auto_Renewal_Score', 'Discount_Amount']"
0,0,0.022279246,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.038635064,"['Status_Scores', 'Sustainability_Score', 'Tenure_Group_3']"
0,1,0.8520628,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.24501543,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0413131,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.0110018905,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0018836546,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0075048218,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0033065637,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.06983749,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
1,1,0.85099953,"['Discount_Amount', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.012279445,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.008928688,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0021635084,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0030561036,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0032821873,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
1,0,0.050633725,"['Status_Scores', 'Total_Net_Paid', 'Band_Band B']"
0,0,0.05268232,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.022425927,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.003701458,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.23704173,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.14985475,"['Discount_Amount', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.043445133,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.038537417,"['Status_Scores', 'Auto_Renewal_Score', 'Band_Band B']"
0,0,0.042580124,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.005758922,"['Status_Scores', 'Auto_Renewal_Score', 'Tenure_Years']"
0,0,0.00024427893,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0071350667,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
1,1,0.9538023,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.41323918,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.7657599,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.001954076,"['Status_Scores', 'Payment_Timeframe', 'Band_Band D']"
1,1,0.9697892,"['Status_Scores', 'Payment_Timeframe', 'Band_Band B']"
0,0,0.044683088,"['Status_Scores', 'Payment_Timeframe', 'Band_Band D']"
0,0,0.0007600997,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.043093592,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.7439617,"['Status_Scores', 'Total_Net_Paid', 'stage_high_risk_flag']"
0,0,0.0027642262,"['Sustainability_Score', 'Status_Scores', 'Band_Band F']"
0,1,0.9701744,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.2357205,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.008508036,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.3059324,"['Status_Scores', 'Tenure_Years', 'Band_Band D']"
0,0,0.0038502482,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
1,0,0.78555655,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.027856508,"['Status_Scores', 'Auto_Renewal_Score', 'Sustainability_Score']"
0,0,0.007965902,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
0,0,0.0055993,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.00081196456,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0014167731,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.014996769,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.00065662997,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0041159997,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.30345196,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.01647957,"['Status_Scores', 'Band_Band D', 'Payment_Timeframe']"
0,0,0.001392874,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
1,1,0.92857295,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.00040246107,"['Status_Scores', 'Payment_Timeframe', 'Sustainability_Score']"
0,0,0.0193437,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
0,0,0.0021445549,"['Sustainability_Score', 'Status_Scores', 'Auto_Renewal_Score']"
0,0,0.0051127346,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.048852827,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.04619366,"['Status_Scores', 'Discount_Amount', 'Band_Band D']"
1,1,0.97702354,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.29553083,"['Status_Scores', 'Payment_Timeframe', 'Band_Band D']"
0,0,0.0029825978,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.021140683,"['Status_Scores', 'Discount_Amount', 'Band_Band D']"
0,0,0.00286247,"['Status_Scores', 'Sustainability_Score', 'Band_Band D']"
1,1,0.833294,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0073067686,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.14941208,"['Status_Scores', 'Total_Net_Paid', 'Band_Group']"
0,0,0.01232444,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
0,0,0.000935446,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.11525453,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,1,0.82395536,"['Status_Scores', 'Payment_Timeframe', 'Band_Band B']"
0,0,0.0009242694,"['Status_Scores', 'Band_Band I', 'Renewal_Score_At_Release']"
0,0,0.021198615,"['Status_Scores', 'Payment_Timeframe', 'Sustainability_Score']"
0,0,0.6236371,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
1,1,0.90767443,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
0,0,0.005240037,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.004187484,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.008573812,"['Status_Scores', 'Auto_Renewal_Score', 'Sustainability_Score']"
0,0,0.19233513,"['Payment_Timeframe', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.0036936514,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0019799336,"['Status_Scores', 'Band_Band D', 'Auto_Renewal_Score']"
0,0,0.027733754,"['Status_Scores', 'Band_Band D', 'Payment_Timeframe']"
0,0,0.0044555715,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.093238935,"['Band_Band F', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.0075962692,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.056641378,"['Status_Scores', 'Total_Net_Paid', 'Band_Band D']"
0,0,0.002941856,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0024674982,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.021040397,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.086126305,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0014918701,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.007383683,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.06051959,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0044719577,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.0038593577,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0043901205,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
1,0,0.7263038,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.08229145,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.03749034,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.017082764,"['Status_Scores', 'Auto_Renewal_Score', 'Discount_Amount']"
0,0,0.008017411,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0012184967,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.17201863,"['Status_Scores', 'Payment_Timeframe', 'Band_Band D']"
0,0,0.0057340106,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.014094265,"['Status_Scores', 'Discount_Amount', 'Sustainability_Score']"
0,0,0.010082592,"['Status_Scores', 'Sustainability_Score', 'Band_Band D']"
0,0,0.007274738,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.009207804,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
0,0,0.07500663,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.028308572,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.09081542,"['Total_Net_Paid', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.049512424,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0022966845,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.31090796,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.030619992,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.0032209808,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.15957455,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.019614832,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.024534846,"['Status_Scores', 'Auto_Renewal_Score', 'Sustainability_Score']"
0,0,0.021027407,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0013450441,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.046684336,"['Status_Scores', 'Auto_Renewal_Score', 'Sustainability_Score']"
0,0,0.11670245,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.6297395,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0031066756,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0038174342,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.006561812,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.14568059,"['Status_Scores', 'Auto_Renewal_Score', 'Band_Band B']"
0,0,0.46042538,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
0,0,0.0068222196,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.0016300054,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0014894741,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0061817104,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.41632876,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
1,1,0.9909375,"['Discount_Amount', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.1045099,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.024643034,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.010330633,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.001066392,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.009914733,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.043929502,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.001424087,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.21875049,"['Status_Scores', 'Payment_Timeframe', 'Renewal_Score_At_Release']"
0,0,0.033149198,"['Status_Scores', 'Total_Net_Paid', 'Band_Band F2']"
0,0,0.037876897,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.20599319,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0009399305,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.19559236,"['Band_Band F', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.0041060355,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.001586345,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.03512448,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0024928201,"['Status_Scores', 'Sustainability_Score', 'Band_Group']"
0,0,0.0011782718,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0006334951,"['Status_Scores', 'Sustainability_Score', 'Band_Band F2']"
0,0,0.025584912,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.013869699,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,1,0.8256238,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.0017438559,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0012895426,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0015639681,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
1,1,0.8935261,"['Status_Scores', 'Band_Band G', 'Total_Net_Paid']"
0,0,0.038294848,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.006061609,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
0,0,0.004756863,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0006034718,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.025718927,"['Status_Scores', 'Band_Band D', 'Payment_Timeframe']"
0,0,0.0007168039,"['Status_Scores', 'Sustainability_Score', 'Band_Band D']"
0,0,0.007496018,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
1,1,0.9332118,"['Status_Scores', 'Auto_Renewal_Score', 'stage_high_risk_flag']"
0,0,0.034939993,"['Status_Scores', 'Band_Band E', 'Total_Net_Paid']"
0,0,0.0012114524,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
1,1,0.983197,"['Status_Scores', 'stage_high_risk_flag', 'Band_Band B']"
0,0,0.00057204365,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0037954831,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.21451841,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.071698576,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0037636738,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0721396,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.019276457,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.040194288,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.0094198575,"['Status_Scores', 'Auto_Renewal_Score', 'Sustainability_Score']"
0,0,0.07793503,"['Status_Scores', 'Auto_Renewal_Score', 'Discount_Amount']"
0,0,0.0055804118,"['Status_Scores', 'Auto_Renewal_Score', 'Tenure_Years']"
0,0,0.07252081,"['Status_Scores', 'Band_Band E', 'Total_Net_Paid']"
0,1,0.97229844,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
0,0,0.00030890477,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0145619,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0022120115,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.24872828,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.37718564,"['Status_Scores', 'Payment_Timeframe', 'Band_Band D']"
0,1,0.9472,"['Status_Scores', 'Discount_Amount', 'Band_Band B']"
0,0,0.016829744,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
1,1,0.9368821,"['Status_Scores', 'stage_high_risk_flag', 'Total_Net_Paid']"
0,0,0.0015139912,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0016112062,"['Status_Scores', 'Sustainability_Score', 'Band_Band D']"
0,0,0.0018186858,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.018268688,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0033717041,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0026489722,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.012727578,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.00043604436,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0018319216,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0011460984,"['Status_Scores', 'Sustainability_Score', 'Band_Band F2']"
0,0,0.015426217,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.07144049,"['Status_Scores', 'Total_Net_Paid', 'Band_Band G']"
0,0,0.00074955,"['Status_Scores', 'Payment_Timeframe', 'Band_Band D']"
0,0,0.002070478,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.12530895,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.0064930357,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.021400541,"['Status_Scores', 'Discount_Amount', 'Sustainability_Score']"
0,0,0.044783674,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.35908377,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
0,0,0.008891322,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.016902255,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.017842203,"['Status_Scores', 'Discount_Amount', 'Total_Net_Paid']"
0,0,0.0008068709,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.018119188,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
1,1,0.995845,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.036301523,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.011135867,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0017803947,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.002698402,"['Status_Scores', 'Sustainability_Score', 'Band_Group']"
0,0,0.0023077684,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.00018120787,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
1,0,0.6703626,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,1,0.8998045,"['Status_Scores', 'Payment_Timeframe', 'Band_Band B']"
0,0,0.005696803,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
1,1,0.95111525,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.07384099,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.0003710082,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0080053,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0051006675,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
1,1,0.9400074,"['Status_Scores', 'stage_high_risk_flag', 'Payment_Timeframe']"
0,0,0.0012359504,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.009587621,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.003514229,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.028116912,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
1,1,0.9986979,"['Discount_Amount', 'Status_Scores', 'Payment_Timeframe']"
1,1,0.99945456,"['Tenure_Years', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.020847319,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
1,1,0.9901007,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.024451822,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.00065959105,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
0,0,0.002917919,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0017428467,"['Status_Scores', 'Tenure_Years', 'Auto_Renewal_Score']"
0,0,0.016718462,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.0026693996,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0012174132,"['Status_Scores', 'Band_Band D', 'Auto_Renewal_Score']"
0,0,0.038851682,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.032465015,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.008506049,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.097374216,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.01310849,"['Status_Scores', 'Payment_Timeframe', 'Auto_Renewal_Score']"
1,1,0.96333414,"['Payment_Timeframe', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.4759144,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
1,1,0.8388196,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
1,0,0.41828355,"['Total_Net_Paid', 'Payment_Timeframe', 'Status_Scores']"
0,0,0.0016527151,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0012943686,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
