Call_ID,Call_Direction,Co_Ref,Call_Date,Churn_Category,Complaint_Category,Customer_Reaction_Category,Agent_Renewal_Pitch_Category,Customer_Renewal_Response_Category,Agent_Response_Category,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Agent_Flagged_Membership_Status_Alert,Agent_Renewal_Initiation,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Price_Switching_Mentioned,Competitor_Value_Comparison,Competitor_Benefits_Mentioned,Topic_Introduced_By,Percentage_Price_Increase_Mentioned,Monetary_Price_Increase_Mentioned,Price_Range_Mentioned,Customer_Asked_For_Justification,Customer_Response,Desire_To_Cancel,Discount_Offered,Justification_Category,Reason_For_Renewal_Category,Agent_Response_To_Cancel_Category,Argument_That_Convinced_Customer_to_Stay_Category,Analysed_Call,Call_Number,Call_Year,Prospect_Renewal_Date,Prospect_Outcome,Days_Before_Renewal,target,Call_Month,days_bucket
539000000000,OUT_BOUND,AB2997,2024-09-25,,,,Cancellation / Termination / Non-Renewal / Closure,Confusion / Uncertainty / Hesitation,Customer Communication,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,7,2024,2024-10-09,Won,14.0,0,9,14-21d
539000000000,OUT_BOUND,AB2997,2024-09-25,,,Discount / Offer,Accreditation and Certification,Discount and Offer,Payment,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Agent,No,Yes,£769 to £694.56,No,Positive,Renewed,Yes,Discounts / incentives,Discounts / incentives,,Financial Incentives / Cost-Effectiveness,1.0,7,2024,2024-10-09,Won,14.0,0,9,14-21d
539000000000,OUT_BOUND,AB2997,2024-09-25,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,7,2024,2024-10-09,Won,14.0,0,9,14-21d
539000000000,IN_BOUND,AB2997,2024-09-25,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,7,2024,2024-10-09,Won,14.0,0,9,14-21d
682000000000,OUT_BOUND,AB2997,2025-08-28,,,,Annual,Agreement,Audit,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,18,2025,2025-10-09,Won,42.0,0,8,36-45d
682000000000,OUT_BOUND,AB2997,2025-09-08,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,19,2025,2025-10-09,Won,31.0,0,9,29-35d
682000000000,OUT_BOUND,AB2997,2025-09-10,,Financial Hardship,Financial Hardship / Struggle,Expiration / Due,Financial Hardship / Struggles,Discount and Offer,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Agent,No,No,Not Discussed,No,Neutral,Renewed,No,Incentive offered,Value of product,,,1.0,20,2025,2025-10-09,Won,29.0,0,9,29-35d
683000000000,OUT_BOUND,AB2997,2025-09-19,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,21,2025,2025-10-09,Won,20.0,0,9,14-21d
194000000000,OUT_BOUND,AB2997,2025-09-24,Financial struggles / Business Problems,,,Expiration / Due,Financial Hardship / Struggles,Cancellation / Termination / Closure,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Negative,Desired to Cancel,Yes,,,Payment convenience,,1.0,22,2025,2025-10-09,Won,15.0,0,9,14-21d
595000000000,OUT_BOUND,AB8719,2025-02-03,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,2,2025,2025-03-02,Won,27.0,0,2,22-28d
596000000000,OUT_BOUND,AB8719,2025-02-06,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,4,2025,2025-03-02,Won,24.0,0,2,22-28d
596000000000,OUT_BOUND,AB8719,2025-02-06,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,4,2025,2025-03-02,Won,24.0,0,2,22-28d
693000000000,OUT_BOUND,AB8719,2026-01-20,,,,Discussion / Introduction / Inquiry,Accreditation and Certification,Customer Communication,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Agent,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,5,2026,2026-03-02,Won,41.0,0,1,36-45d
505000000000,OUT_BOUND,AC2155,2024-04-05,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,1,2024,2024-05-04,Won,29.0,0,4,29-35d
623000000000,OUT_BOUND,AC2155,2025-04-03,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,8,2025,2025-05-04,Churned,31.0,1,4,29-35d
623000000000,OUT_BOUND,AC2155,2025-04-04,,,Not Mentioned,,Payments and Billings / Invoice,Customer Communication,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,10,2025,2025-05-04,Churned,30.0,1,4,29-35d
623000000000,OUT_BOUND,AC2155,2025-04-04,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,10,2025,2025-05-04,Churned,30.0,1,4,29-35d
623000000000,OUT_BOUND,AC2155,2025-04-07,Client Requirement,,,Payment and Billings / Invoice,Others,Customer Retention,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Desired to Cancel,No,,,Value of product,,1.0,12,2025,2025-05-04,Churned,27.0,1,4,22-28d
623000000000,OUT_BOUND,AC2155,2025-04-07,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,12,2025,2025-05-04,Churned,27.0,1,4,22-28d
694000000000,OUT_BOUND,AC5010,2026-02-06,,,,Auto / Automatic,Not Mentioned,Confirmation / Acceptance / Agreement,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,1,2026,2026-03-03,Won,25.0,0,2,22-28d
591000000000,OUT_BOUND,AC5613,2024-11-15,,,,Auto / Automatic,Not Mentioned,Customer Communication,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,1,2024,2024-12-12,Won,27.0,0,11,22-28d
626000000000,OUT_BOUND,AC9302,2025-05-12,,,Not Mentioned,Auto / Automatic,Agreement,Confirmation / Acceptance / Agreement,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Agent,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,1,2025,2025-06-06,Churned,25.0,1,5,22-28d
508000000000,OUT_BOUND,AD2140,2024-05-10,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,4,2024,2024-06-06,Won,27.0,0,5,22-28d
508000000000,IN_BOUND,AD2140,2024-05-10,,,,Expiration / Due,Auto / Automatic,Confirmation / Acceptance / Agreement,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,4,2024,2024-06-06,Won,27.0,0,5,22-28d
508000000000,OUT_BOUND,AD2140,2024-05-10,,,,Auto / Automatic,,,No,No,No,Unknown,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,4,2024,2024-06-06,Won,27.0,0,5,22-28d
508000000000,OUT_BOUND,AD2140,2024-05-10,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,4,2024,2024-06-06,Won,27.0,0,5,22-28d
626000000000,OUT_BOUND,AD2140,2025-05-15,,,,Auto / Automatic,Confusion / Uncertainty / Hesitation,Customer Communication,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,5,2025,2025-06-06,Won,22.0,0,5,22-28d
539000000000,OUT_BOUND,AE4912,2024-09-13,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,1,2024,2024-10-10,Won,27.0,0,9,22-28d
506000000000,OUT_BOUND,AE6472,2024-04-22,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,1,2024,2024-06-02,Won,41.0,0,4,36-45d
507000000000,OUT_BOUND,AE6472,2024-04-25,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,3,2024,2024-06-02,Won,38.0,0,4,36-45d
508000000000,OUT_BOUND,AE6472,2024-05-10,,,,Expiration / Due,Communication,Confirmation / Acceptance / Agreement,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,5,2024,2024-06-02,Won,23.0,0,5,22-28d
508000000000,OUT_BOUND,AE6472,2024-05-10,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,5,2024,2024-06-02,Won,23.0,0,5,22-28d
626000000000,OUT_BOUND,AE6472,2025-05-14,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,33,2025,2025-06-02,Won,19.0,0,5,14-21d
626000000000,OUT_BOUND,AE6472,2025-05-14,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,33,2025,2025-06-02,Won,19.0,0,5,14-21d
622000000000,OUT_BOUND,AE7407,2025-03-21,,,,Annual,Communication,Customer Service / Support,No,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,9,2025,2025-04-04,Churned,14.0,1,3,14-21d
510000000000,OUT_BOUND,AF3897,2024-06-25,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,2,2024,2024-08-07,Won,43.0,0,6,36-45d
510000000000,OUT_BOUND,AF3897,2024-06-25,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,2,2024,2024-08-07,Won,43.0,0,6,36-45d
511000000000,OUT_BOUND,AF3897,2024-07-08,,,,,,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Agent,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,4,2024,2024-08-07,Won,30.0,0,7,29-35d
511000000000,OUT_BOUND,AF3897,2024-07-08,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,4,2024,2024-08-07,Won,30.0,0,7,29-35d
678000000000,OUT_BOUND,AF3897,2025-07-08,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Unknown,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,6,2025,2025-08-07,Churned,30.0,1,7,29-35d
678000000000,OUT_BOUND,AF3897,2025-07-08,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,6,2025,2025-08-07,Churned,30.0,1,7,29-35d
679000000000,OUT_BOUND,AF3897,2025-07-17,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,7,2025,2025-08-07,Churned,21.0,1,7,14-21d
505000000000,OUT_BOUND,AF5367,2024-04-05,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,3,2024,2024-05-04,Won,29.0,0,4,29-35d
505000000000,IN_BOUND,AF5367,2024-04-05,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,3,2024,2024-05-04,Won,29.0,0,4,29-35d
685000000000,OUT_BOUND,AG4897,2025-10-13,Financial struggles / Business Problems,,,Auto / Automatic,Cancellation / Termination / Non-Renewal / Withdrawal,Cancellation / Termination / Closure,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Desired to Cancel,No,,,,,1.0,4,2025,2025-11-10,Churned,28.0,1,10,22-28d
511000000000,IN_BOUND,AG7361,2024-07-15,,Account Information,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,1,2024,2024-08-09,Churned,25.0,1,7,22-28d
511000000000,OUT_BOUND,AG7361,2024-07-16,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,2,2024,2024-08-09,Churned,24.0,1,7,22-28d
594000000000,OUT_BOUND,AG7687,2025-01-20,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,6,2025,2025-03-05,Won,44.0,0,1,36-45d
595000000000,OUT_BOUND,AG7687,2025-01-21,,,,Payment and Billings / Invoice,Financial Hardship / Struggles,Confirmation / Acceptance / Agreement,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,7,2025,2025-03-05,Won,43.0,0,1,36-45d
595000000000,OUT_BOUND,AG7687,2025-01-27,,,,Discussion / Introduction / Inquiry,Communication,Customer Service / Support,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,8,2025,2025-03-05,Won,37.0,0,1,36-45d
596000000000,OUT_BOUND,AG7687,2025-02-12,,,,Discussion / Introduction / Inquiry,Confusion / Uncertainty / Hesitation,Customer Communication,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,9,2025,2025-03-05,Won,21.0,0,2,14-21d
565000000000,OUT_BOUND,AH1272,2024-10-22,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,2,2024,2024-11-11,Churned,20.0,1,10,14-21d
511000000000,OUT_BOUND,AH2822,2024-07-16,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,2,2024,2024-08-08,Won,23.0,0,7,22-28d
679000000000,IN_BOUND,AH2822,2025-07-25,Cost / Price / Too expensive,Price Increase / Rise and Value,Not Mentioned,Cancellation / Termination / Non-Renewal / Closure,Price and Cost,Cancellation / Termination / Closure,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Customer,No,No,Not Discussed,No,Negative,Desired to Cancel,No,,,Other (misidentified),,1.0,4,2025,2025-08-08,Churned,14.0,1,7,14-21d
625000000000,OUT_BOUND,AH3411,2025-04-28,,,,Payment and Billings / Invoice,Confusion / Uncertainty / Hesitation,Customer Communication,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,Strong client relationship,,,1.0,5,2025,2025-06-04,Churned,37.0,1,4,36-45d
590000000000,OUT_BOUND,AI1896,2024-11-07,Accreditation / Certification,,Dissatisfaction / Concern / Complaint / Frustration,Accreditation and Certification,Price and Cost,Discount and Offer,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Agent,No,Yes,Not Discussed,Yes,Negative,Desired to Cancel,Yes,Pricing Adjustments increase,,Offers / Incentives,,1.0,2,2024,2024-12-10,Churned,33.0,1,11,29-35d
591000000000,OUT_BOUND,AI1896,2024-11-22,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,3,2024,2024-12-10,Churned,18.0,1,11,14-21d
565000000000,OUT_BOUND,AI7580,2024-10-21,,,,Expiration / Due,Audit,Audit,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,1,2024,2024-11-11,Won,21.0,0,10,14-21d
685000000000,OUT_BOUND,AI7580,2025-10-15,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,2,2025,2025-11-11,Won,27.0,0,10,22-28d
592000000000,IN_BOUND,AI7787,2024-12-06,,Login and Access,,Expiration / Due,Agreement,Payment,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,2,2024,2025-01-02,Won,27.0,0,12,22-28d
690000000000,IN_BOUND,AJ3222,2025-12-19,,,,,Communication,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,3,2025,2026-02-01,Won,44.0,0,12,36-45d
690000000000,OUT_BOUND,AJ3222,2025-12-19,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,3,2025,2026-02-01,Won,44.0,0,12,36-45d
691000000000,OUT_BOUND,AJ3222,2026-01-05,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,4,2026,2026-02-01,Won,27.0,0,1,22-28d
651000000000,IN_BOUND,AJ3796,2025-05-29,,,,Discussion / Introduction / Inquiry,Agreement,Technical,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,3,2025,2025-07-06,Won,38.0,0,5,36-45d
651000000000,OUT_BOUND,AJ3796,2025-05-29,,,,Auto / Automatic,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,3,2025,2025-07-06,Won,38.0,0,5,36-45d
508000000000,OUT_BOUND,AK3109,2024-05-10,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,4,2024,2024-06-06,Won,27.0,0,5,22-28d
651000000000,OUT_BOUND,AK3109,2025-05-22,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,5,2025,2025-06-06,Won,15.0,0,5,14-21d
